feature,permutation_importance_mean,permutation_importance_std
DJF_NDMI,0.12763757172944584,0.04161079114381337
DJF_NBR,0.12192071841399714,0.025433564382014398
DJF_NDRE,0.0758564510296338,0.027692640749344848
WET_NDRE2,0.06792135010119532,0.032975522335391076
WET_NDRE,0.06263285110035237,0.04450882821232969
WET_SAVI,0.048035294586722364,0.03902080092444963
WET_EVI,0.04776267124983098,0.035082481357870836
WET_IRECI,0.0452514334481547,0.02316539179276085
DJF_NDVI,0.04291131689425868,0.030623110904208148
DJF_GNDVI,0.04121510210219883,0.022384768922017656
DJF_NDRE2,0.028780971735777573,0.03504787099421838
WET_NDVI,0.026230622043392847,0.023768556878119844
DJF_IRECI,0.025079853246200944,0.019392965172177878
DJF_SAVI,0.02451211041441076,0.02285658608200495
DJF_RECI,0.023339159913130958,0.027749774598504463
DJF_EVI,0.016498031611728046,0.014138483417891156
WET_NBR,0.00953181003584228,0.019138905150609103
WET_NDMI,0.0035803622900396847,0.014792717912134842
WET_GNDVI,-0.007050051203277041,0.01560126465302603
WET_RECI,-0.007819306589467912,0.012085376910072788
