feature,permutation_importance_mean,permutation_importance_std
DJF_NBR,0.20935123207070477,0.06641335896398204
DJF_NDMI,0.11427679559711464,0.043271732559023036
WET_EVI,0.04120100411033717,0.020628435328050313
DJF_NDRE,0.040924502285789886,0.013282197732737071
DJF_RECI,0.03873700549003075,0.010103638127657985
WET_SAVI,0.03231769876339606,0.015249237944024333
DJF_EVI,0.030048576711921893,0.018873604930412447
DJF_GNDVI,0.024910491369603095,0.03648339237139191
DJF_IRECI,0.019872186718532914,0.01549709877354883
DJF_NDRE2,0.014504955080114835,0.016829856567234232
DJF_SAVI,0.013282633695113899,0.01811187537314051
WET_NDMI,0.011803278688524576,0.00963733669291741
WET_IRECI,0.0059650978318349975,0.01246826059304999
WET_NBR,6.345848757270956e-05,0.008656677435026992
WET_NDVI,-0.007551560021152837,0.012762730885717926
DJF_NDVI,-0.007675250293540303,0.02312700413171643
WET_GNDVI,-0.009518773135906933,0.009518773135906933
WET_NDRE2,-0.010455174227010488,0.01824485221807205
WET_NDRE,-0.011667548034549613,0.015651033863844657
WET_RECI,-0.017133791644632478,0.00571126388154416
