source_id,label,spatial_group,split
400.0,1,28_27,spatial_holdout
401.0,1,28_27,spatial_holdout
415.0,1,28_27,spatial_holdout
416.0,1,28_27,spatial_holdout
417.0,1,28_27,spatial_holdout
418.0,1,28_27,spatial_holdout
420.0,1,28_27,spatial_holdout
421.0,1,28_27,spatial_holdout
422.0,1,28_27,spatial_holdout
423.0,1,28_27,spatial_holdout
424.0,1,28_27,spatial_holdout
425.0,1,28_27,spatial_holdout
427.0,1,28_27,spatial_holdout
429.0,1,28_27,spatial_holdout
392.0,1,28_27,spatial_holdout
393.0,1,28_27,spatial_holdout
394.0,1,28_27,spatial_holdout
395.0,1,28_27,spatial_holdout
396.0,1,28_27,spatial_holdout
397.0,1,28_27,spatial_holdout
398.0,1,28_27,spatial_holdout
399.0,1,28_27,spatial_holdout
402.0,1,28_27,spatial_holdout
403.0,1,28_27,spatial_holdout
404.0,1,28_27,spatial_holdout
405.0,1,28_27,spatial_holdout
406.0,1,28_27,spatial_holdout
407.0,1,28_27,spatial_holdout
408.0,1,28_27,spatial_holdout
409.0,1,28_27,spatial_holdout
410.0,1,28_27,spatial_holdout
411.0,1,28_27,spatial_holdout
412.0,1,28_27,spatial_holdout
413.0,1,28_27,spatial_holdout
414.0,1,28_27,spatial_holdout
256.0,1,27_28,train
257.0,1,27_28,train
258.0,1,27_28,train
259.0,1,27_28,train
260.0,1,27_28,train
261.0,1,27_28,train
262.0,1,27_28,train
263.0,1,27_28,train
264.0,1,27_28,train
265.0,1,27_28,train
266.0,1,27_28,train
267.0,1,27_28,train
268.0,1,27_27,train
270.0,1,27_27,train
271.0,1,27_27,train
272.0,1,27_27,train
273.0,1,27_27,train
274.0,1,27_27,train
276.0,1,27_27,train
277.0,1,27_27,train
278.0,1,27_27,train
279.0,1,27_27,train
280.0,1,27_27,train
281.0,1,27_27,train
282.0,1,27_27,train
283.0,1,27_27,train
284.0,1,27_27,train
285.0,1,27_27,train
286.0,1,27_27,train
287.0,1,27_27,train
288.0,1,27_27,train
289.0,1,27_27,train
290.0,1,27_27,train
291.0,1,27_27,train
292.0,1,27_27,train
293.0,1,27_27,train
294.0,1,27_27,train
295.0,1,27_27,train
296.0,1,27_27,train
297.0,1,27_27,train
298.0,1,27_27,train
299.0,1,27_27,train
300.0,1,27_27,train
301.0,1,27_27,train
302.0,1,27_27,train
303.0,1,27_27,train
304.0,1,27_27,train
305.0,1,27_27,train
306.0,1,27_27,train
313.0,1,27_27,train
314.0,1,27_28,train
315.0,1,27_28,train
316.0,1,27_28,train
269.0,1,27_27,train
307.0,1,27_27,train
308.0,1,27_27,train
309.0,1,27_27,train
310.0,1,27_27,train
311.0,1,27_27,train
312.0,1,27_27,train
317.0,1,27_28,train
318.0,1,27_27,train
319.0,1,27_27,train
320.0,1,27_28,train
321.0,1,27_28,train
322.0,1,27_28,train
323.0,1,27_28,train
324.0,1,27_28,train
325.0,1,27_27,train
326.0,1,27_28,train
327.0,1,27_27,train
328.0,1,27_27,train
329.0,1,27_27,train
330.0,1,27_27,train
331.0,1,27_27,train
332.0,1,27_27,train
333.0,1,27_27,train
334.0,1,27_27,train
335.0,1,27_27,train
336.0,1,27_28,train
337.0,1,27_28,train
338.0,1,27_28,train
339.0,1,27_27,train
340.0,1,27_27,train
341.0,1,27_28,train
342.0,1,27_28,train
343.0,1,27_27,train
344.0,1,27_27,train
345.0,1,27_27,train
346.0,1,27_27,train
347.0,1,27_27,train
348.0,1,27_27,train
349.0,1,27_27,train
350.0,1,27_27,train
351.0,1,27_27,train
352.0,1,27_27,train
353.0,1,27_27,train
354.0,1,27_27,train
355.0,1,27_27,train
356.0,1,27_27,train
357.0,1,27_27,train
358.0,1,27_27,train
359.0,1,27_27,train
360.0,1,27_27,train
361.0,1,27_27,train
362.0,1,27_27,train
363.0,1,27_27,train
364.0,1,27_27,train
365.0,1,27_27,train
366.0,1,27_27,train
367.0,1,27_27,train
368.0,1,27_27,train
369.0,1,27_27,train
370.0,1,27_27,train
371.0,1,27_27,train
372.0,1,27_27,train
373.0,1,27_28,train
374.0,1,27_28,train
375.0,1,27_28,train
376.0,1,27_28,train
377.0,1,27_28,train
378.0,1,27_28,train
379.0,1,27_28,train
380.0,1,27_28,train
381.0,1,27_28,train
382.0,1,27_28,train
383.0,1,27_28,train
384.0,1,27_28,train
385.0,1,27_28,train
386.0,1,27_28,train
387.0,1,27_28,train
388.0,1,27_28,train
428.0,1,28_27,spatial_holdout
430.0,1,28_27,spatial_holdout
431.0,1,28_27,spatial_holdout
432.0,1,28_27,spatial_holdout
434.0,1,28_27,spatial_holdout
435.0,1,28_27,spatial_holdout
436.0,1,28_27,spatial_holdout
437.0,1,28_27,spatial_holdout
438.0,1,28_27,spatial_holdout
252.0,1,27_28,train
253.0,1,27_28,train
254.0,1,27_28,train
255.0,1,27_28,train
142.0,1,29_29,train
143.0,1,29_29,train
144.0,1,29_29,train
100.0,1,29_30,spatial_holdout
103.0,1,29_30,spatial_holdout
104.0,1,29_30,spatial_holdout
105.0,1,29_30,spatial_holdout
106.0,1,29_30,spatial_holdout
107.0,1,29_30,spatial_holdout
108.0,1,29_30,spatial_holdout
110.0,1,29_30,spatial_holdout
111.0,1,29_30,spatial_holdout
112.0,1,29_30,spatial_holdout
113.0,1,29_30,spatial_holdout
116.0,1,29_30,spatial_holdout
117.0,1,29_30,spatial_holdout
118.0,1,29_30,spatial_holdout
