feature,permutation_importance_mean,permutation_importance_std
DJF_NDMI,0.12025791401320896,0.04213268423948419
WET_NDVI,0.09827846649498125,0.020117733699618414
DJF_NBR,0.08017353445762776,0.03042942160093395
DJF_IRECI,0.0689610802772762,0.022750937713773026
DJF_NDRE2,0.053574052540743766,0.020748853542544875
WET_NDMI,0.05035345667871398,0.02079403047060683
DJF_GNDVI,0.04136517533713432,0.012960752366902558
WET_GNDVI,0.0390872049365231,0.018429229534843123
DJF_EVI,0.03638032833212884,0.011916456145439668
WET_NDRE2,0.031375650210605385,0.012353875898452507
WET_NBR,0.030060242762391408,0.012914462004222724
DJF_NDRE,0.023514120308525933,0.010480427029125846
WET_SAVI,0.016300075055324548,0.010046178945075392
WET_EVI,0.014177027851218138,0.024514493069067972
DJF_NDVI,0.013336572361822141,0.012241865034245476
DJF_RECI,0.012828685213467583,0.006405107249093908
WET_IRECI,0.005214494411510529,0.019707792421427277
WET_NDRE,-0.00034392084554947245,0.013070270053968106
WET_RECI,-0.0018280769984071244,0.005360233348422985
DJF_SAVI,-0.01558197632077688,0.01537567807149086
